wall_time,step,value
1658339142.3548803,1682432,-7.701550006866455
1658339202.353769,2300928,-7.696899890899658
1658339262.3569288,2916352,-7.700550079345703
1658339322.3556046,3531776,-7.718949794769287
1658339382.350342,4148224,-7.712399959564209
1658339442.350434,4763648,-7.692349910736084
1658339502.3636885,5382144,-7.698249816894531
1658339562.3483753,5999616,-7.695950031280518
1658339622.342546,6617088,-7.7058000564575195
1658339682.343905,7233536,-7.716300010681152
1658339742.3442395,7851008,-7.697249889373779
1658339802.3527684,8467456,-7.673600196838379
1658339862.3641553,9085952,-7.683149814605713
1658339922.3554542,9702400,-7.699100017547607
1658339982.356886,10318848,-7.677949905395508
1658340042.351714,10934272,-7.67264986038208
1658340102.346568,11551744,-7.649499893188477
1658340162.3708606,12167168,-7.655600070953369
1658340222.365032,12786688,-7.660799980163574
1658340282.3654084,13403136,-7.663949966430664
1658340342.3489776,14020608,-7.64424991607666
1658340402.3461697,14639104,-7.636149883270264
1658340462.3493288,15255552,-7.630050182342529
1658340522.3578796,15874048,-7.618800163269043
1658340582.355901,16491520,-7.620299816131592
1658340642.3625813,17108992,-7.653600215911865
1658340702.3489196,17727488,-7.635000228881836
1658340762.3598807,18343936,-7.604949951171875
1658340822.3492866,18959360,-7.610400199890137
1658340882.3469777,19576832,-7.642099857330322
1658340942.3525743,20193280,-7.656799793243408
1658341002.3524828,20810752,-7.6506500244140625
1658341062.3451533,21427200,-7.618899822235107
1658341122.3651588,22045696,-7.590350151062012
1658341182.3521082,22661120,-7.601950168609619
1658341242.3561418,23277568,-7.61614990234375
1658341302.3448868,23895040,-7.59915018081665
1658341362.3658667,24512512,-7.6114501953125
1658341422.346243,25128960,-7.600450038909912
1658341482.3451726,25746432,-7.598999977111816
1658341542.3488207,26363904,-7.593649864196777
1658341602.3499942,26980352,-7.552849769592285
1658341662.3502934,27596800,-7.556849956512451
1658341722.3586833,28213248,-7.593500137329102
1658341782.3467138,28829696,-7.581099987030029
1658341842.3531504,29447168,-7.57289981842041
1658341902.3449838,30065664,-7.569250106811523
1658341962.3482673,30681088,-7.6184000968933105
1658342022.3492978,31297536,-7.608799934387207
1658342082.3517609,31916032,-7.517099857330322
1658342142.3628232,32533504,-7.523749828338623
1658342202.3542936,33149952,-7.532750129699707
1658342262.3473594,33766400,-7.549950122833252
1658342322.3462656,34381824,-7.55935001373291
1658342382.3408484,34999296,-7.524350166320801
1658342442.3438172,35618816,-7.515699863433838
1658342502.3486369,36235264,-7.5121002197265625
1658342562.3521824,36851712,-7.568749904632568
1658342622.3597126,37468160,-7.556449890136719
1658342682.355079,38086656,-7.497550010681152
1658342742.3444123,38702080,-7.517149925231934
1658342802.3519578,39318528,-7.480949878692627
1658342862.360689,39934976,-7.467549800872803
1658342922.3582504,40551424,-7.5289998054504395
1658342982.3557174,41168896,-7.533349990844727
1658343042.3500512,41785344,-7.554299831390381
1658343102.3481214,42400768,-7.550899982452393
1658343162.3593385,43017216,-7.425099849700928
1658343222.3501644,43636736,-7.433800220489502
1658343282.3466973,44252160,-7.508950233459473
1658343342.344186,44869632,-7.451449871063232
1658343402.3486228,45486080,-7.460599899291992
1658343462.353439,46102528,-7.468550205230713
1658343522.350335,46717952,-7.510300159454346
1658343582.3541207,47336448,-7.548250198364258
1658343642.3470976,47954944,-7.515250205993652
1658343702.350661,48570368,-7.49685001373291
1658343762.3439202,49188864,-7.4646501541137695
1658343822.3498843,49801216,-7.478700160980225
1658343882.3507853,50418688,-7.497250080108643
1658343942.3477218,51036160,-7.493599891662598
1658344002.3737795,51651584,-7.502299785614014
1658344062.345939,52269056,-7.5119500160217285
1658344122.3520403,52884480,-7.528299808502197
1658344182.3602753,53502976,-7.410699844360352
1658344242.3559806,54118400,-7.430049896240234
1658344302.345559,54734848,-7.519599914550781
1658344362.3458872,55352320,-7.526150226593018
1658344422.353865,55968768,-7.531899929046631
1658344482.3475525,56583168,-7.533649921417236
1658344542.3617318,57201664,-7.551700115203857
1658344602.354571,57818112,-7.513700008392334
1658344662.3500376,58433536,-7.3917999267578125
1658344722.342718,59051008,-7.343100070953369
1658344782.3469346,59669504,-7.248549938201904
1658344842.3532078,60284928,-7.308599948883057
1658344902.3458123,60901376,-7.487750053405762
1658344962.3527696,61520896,-7.526350021362305
1658345022.3450963,62135296,-7.445549964904785
1658345082.3446634,62752768,-7.412700176239014
1658345142.3577209,63369216,-7.492099761962891
1658345202.3523545,63985664,-7.54794979095459
1658345262.3489637,64604160,-7.506050109863281
1658345322.3563483,65220608,-7.34689998626709
1658345382.3564093,65839104,-7.295149803161621
1658345442.3471134,66454528,-7.388500213623047
1658345502.3607802,67073024,-7.4342498779296875
1658345562.3451416,67688448,-7.556099891662598
1658345622.3547506,68305920,-7.556149959564209
1658345682.3507817,68923392,-7.526299953460693
1658345742.345551,69539840,-7.552800178527832
1658345802.3616633,70157312,-7.479249954223633
1658345862.3526707,70773760,-7.331299781799316
1658345922.3558648,71391232,-7.281799793243408
1658345982.3459728,72009728,-7.44320011138916
1658346042.3472955,72626176,-7.457749843597412
1658346102.3595994,73243648,-7.477650165557861
1658346162.3470445,73861120,-7.49560022354126
1658346222.3528054,74477568,-7.508800029754639
1658346282.3573,75094016,-7.517600059509277
1658346342.3501828,75710464,-7.5229997634887695
1658346402.353845,76326912,-7.525949954986572
1658346462.3528242,76943360,-7.469850063323975
1658346522.3565593,77560832,-7.464849948883057
1658346582.351705,78178304,-7.534749984741211
1658346642.354083,78794752,-7.503200054168701
1658346702.3539908,79411200,-7.447450160980225
1658346762.3467114,80027648,-7.450150012969971
1658346822.3549583,80645120,-7.482950210571289
1658346882.3533635,81258496,-7.4569501876831055
1658346942.3537471,81878016,-7.469649791717529
1658347002.3499513,82494464,-7.386849880218506
1658347062.3636549,83110912,-7.285900115966797
1658347122.3526082,83727360,-7.361999988555908
1658347182.3631556,84342784,-7.364649772644043
